token,count,example
embodiments,1,"Solomorne and Glaito exude steely confidence — both akin to living embodiments of duty and order. ""The doctrine of the Adeptus Arbites commands that I cast asid"
ore-mining,1,"The scouts are able to discern symbols of the Imperium on the buildings. Deformed and fused together by high temperatures, the ore-mining structures tell a sad "
requestioning,1,"""Requestioning formation on the location of— Pah! Good sirs, is he gone? Can I come out? Sirs?"""
hic,1,"""...'s to your — hic! — health, my Celestial L-Lord!"""
sullen-faced,1,"Under the guards' watchful eye, sullen-faced servants are collecting scraps. You can hear their empty stomachs rumble and their watering mouths quietly gulp."
thwap,1,"""Thwap your powdered face, you stupid girl! What if it fell on someone's head?"""
quarter-ration,1,"""My hands are going numb... Maybe today, I'll get a quarter-ration at least? Ha! Right..."""
half-sunk,1,"Half-sunk in malodorous mud, the houses, if one can call them that, are packed together like buboes on a plague-stricken body."
plague-stricken,1,"Half-sunk in malodorous mud, the houses, if one can call them that, are packed together like buboes on a plague-stricken body."
cartload,1,"""Useless swine! They can't even deliver a cartload of belongings without breaking something!"""
bug-ridden,1,"""Dear me, look at her, covered in dirt from head to foot! Did something happen? She doesn't belong in this bug-ridden place, poor soul..."""
blaberids,1,You have managed to keep a stony face while downing an entire dish of hot blaberids: a show of steel-hard composure.
steel-hard,1,You have managed to keep a stony face while downing an entire dish of hot blaberids: a show of steel-hard composure.
tha,1,"Ruoldo casts a furtive glance out the window and lets out a hesitant giggle. ""Decided to show a little decorum, my celestial guest? It is a little late for tha—"
tavrisk's,1,"""The term 'cooperation' is hardly applicable in this circumstance, Ruoldo."" As Heinrix speaks, his gaze, focused and grim, sweeps over the hall, the altar, and "
poppet,1,"""Hey, poppet. Where'd you get that dress? You know, my bride-to-be would love to wear a dress like that on her wedding day. Would you lend it to her?"" The one-e"
fancy-looking,1,"""Uh-huh, sure. I'll bet that nice dress of yours is from the upper quarters. And that dog? Ooh, so fancy-looking! I'd love one of those for myself."" The leader "
cogicors,1,"[Break the box] ""I heard that 'Cogicors' are also indestructible. Let's see if the tales were true!"""
lickspittles,1,"""You are nothing but a pair of dim-witted lickspittles. But mere stupidity hardly warrants an execution. Get out of my sight!"""
much-cherished,1,"""The ancient scrolls tell of a wonder, a mechanical sage by the name of Cogicor! It knows the answers to all questions, can make other machines do its bidding, "
malachite,1,"The box in front of you, presumably the Cogicor they speak of, exudes a strong odour of ritual oils. Made of thin planks, it is covered in so many purity seals "
miscomprehension,1,"Heinrix shrugs. ""I've seen quite a few distortions of Gothic on primitive worlds... But I do not recall ever seeing such a miscomprehension of the Omnissiah's g"
ink-stained,1,"The box's thin walls splinter under your blows, and the ink-stained body of an old man falls to the paving stones. The two noblemen look away nervously, but the"
sewn-on,1,"As you approach, the nobles bow gracefully. Their sewn-on faces are wrapped tightly around their skulls, and their eyes gleam with earnest subservience. One dar"
moan-like,1,"The miraculous device reluctantly accepts the offered paper and makes a vague moan-like sound. After a languid moment of waiting, you are presented with a sheet"
chrono-turn,1,"After a chrono-turn of heavy silence, Pasqal finally intones, ""I am registering an act of... imitation of sanctity. This cultural phenomenon is typical of under"
dark-maroon,1,"Dark-maroon amasec is pouring out of the ridiculously gaudy fountain. An eager cup-bearer hands you a goblet filled to the brim. ""Have a taste, if you please, m"
suppressants,1,"""Request denied. I am registering a number of mind-altering substances in this preparation that act as cognitive suppressants."" Pasqal casts a long glance at th"
veisalgia,1,"Eogunn inserts the tip of his augmetic finger into the goblet and pauses for study. ""Analysis reveals traces of metals and organic compounds in the composition,"
data-protocol,1,"""Enough. According to data-protocol Calixis-Sigma UX 11-4, this Mu-class planet, type 'feudal,' Aestimare rating E874, with an assigned tithe grade of Solutio E"
calixis-sigma,1,"""Enough. According to data-protocol Calixis-Sigma UX 11-4, this Mu-class planet, type 'feudal,' Aestimare rating E874, with an assigned tithe grade of Solutio E"
stretched-out,1,"Ruoldo touches his stretched-out countenance. ""Ah, this is a fine tradition that I myself brought to this world! You see, there is a way to tame the merciless p"
a-thieving,1,"""Well, slap my grox! Fine, then, listen to this: One-Eye, terror of the common man, went out a-thieving one day. He sneaks into a hut, itching to fill up his sa"
murgeth's,1,"""Well, slap my grox! Fine, then, listen to this: One-Eye, terror of the common man, went out a-thieving one day. He sneaks into a hut, itching to fill up his sa"
one-arm,1,"""Well, slap my grox! Fine, then, listen to this: One-Eye, terror of the common man, went out a-thieving one day. He sneaks into a hut, itching to fill up his sa"
one-leg,1,"""Well, slap my grox! Fine, then, listen to this: One-Eye, terror of the common man, went out a-thieving one day. He sneaks into a hut, itching to fill up his sa"
metal-harnessed,1,"""Taddua the Scorched is hosting a public trial for a few guilty wretches today. I also overheard that the council of Thasserian nobility was preparing a special"
mhmm,1,"""Mhmm, I can tell by what I'm hearing that our executioner has already lit up the Phesmophorius, ready to give the condemned a warm welcome! Which means the gov"
beasties,1,"""Little beasties like to play. People are their favourite prey. Champ and chomp and munch and crunch! Look! It's snapped your head away! Screams and tears and g"
self-entitled,1,"Pasqal's optical visor fills with deep red, and his vox-speaker erupts into a howl of pained fury: ""I am registering heretical sacrilege born from the stupidity"
misservice,1,"Pasqal's optical visor fills with deep red, and his vox-speaker erupts into a howl of pained fury: ""I am registering heretical sacrilege born from the stupidity"
well-spouted,1,"A smaller figure steps out of the crowd, dressed in the motley attire of a court fool and wearing a sneering mask. ""My name is Bluff! I am Lord Ruoldo's good mo"
itty-bitty,1,"A smaller figure steps out of the crowd, dressed in the motley attire of a court fool and wearing a sneering mask. ""My name is Bluff! I am Lord Ruoldo's good mo"
n-now,1,"""N-now, Your Celestial Highness, we truly tried our best to put together a celebration worthy of our honoured visitors. But the news of your coming reached us s"
get-ups,1,"Gripping the frills of her fabulous dress in her coarse, white-knuckled hands, the woman looks up at you. ""Please, Your Graciousness! By the God-Emperor, just l"
jacket-clad,1,"In the wavering torchlight, you see a glint of steel. One of the jacket-clad young men is pressing a blade against the other's ribs. A mask lies discarded at th"
smooth-faced,1,"You notice a marked difference between the builds of the quarrelling men: the older priest's body is gaunt, unlike that of the smooth-faced youth. Also, the you"
lectorium,1,"The smile vanishes from the young man's face. He gasps indignantly, ""Why... well, yes, I did skip the lectorium once or twice, it's true... But I am still a pro"
fat-faced,1,"""A better sort than this so-called preacher, this fat-faced brat whose head can't hold more than one litany at a time!"""
peddlery,1,"The lady in the golden mask clears her throat: ""There is not a word of a lie in what we have said. This travesty of a nobleman was granted his privileges less t"
highfoot,1,"""This is Baron Timeus Highfoot, a noble lord. I know this because I am his servant — they just gave me this pretty dress."" She gestures at her gown. ""I should b"
timo,1,"""This is my former house servant... Timo... dressed as a noble! He is good, but he could never fool the true nobility."" The young woman deftly marks the man, wh"
vulturous,1,Their vulturous gazes shift to you in anticipation of your verdict.
inappeasable,1,"The woman is not lying, but neither is she being completely candid. The way she looks at the accused speaks of an old, inappeasable hatred, the kind one shows t"
f-family,1,"""My Celestial Lord knows how ruthless court intrigues can be. My f-family only recently attained its lofty status, and many here are opposed..."" he stutters, hi"
chamberpot,1,"""Please, not me. Anyone but me. Who would listen to a court upstart who used to be a chamberpot maid?"" Maive blushes profusely as she realises she has said too "
goldmine,1,"""Destroy the goldmine? Has the iron-jawed ashmag lost his mind, shereen? We've got to start harvesting this wonderful mineral! In the name of the Imperium, obvi"
iron-jawed,1,"""Destroy the goldmine? Has the iron-jawed ashmag lost his mind, shereen? We've got to start harvesting this wonderful mineral! In the name of the Imperium, obvi"
logo-algorithms,1,"""This statement is false, for it is incomplete. The rite of Servitude Imperpituis does not inhibit the unit's communication abilities — it replaces the decay of"
ill-equipped,1,"""Elantach, your desire to understand rather than destroy out of fear does your credit, but... take heed: the minds of mon-keigh are fragile and ill-equipped to "
blabbering,1,"""I am wondering where to start. Should I cut out your blabbering tongue? Or just strike you down now and not beat about the bush?"""
warp-damned,1,"""The only dish I want is called 'the warp-damned tithe,' and I want it served to me this instant."""
passer-by,1,"""Your answers are rather reticent and tentative, Ruoldo — almost as if you were merely a chance passer-by and not the governor."""
forkcraft,1,"""Only three people have managed to conquer the shrimperius tonight, and all of them are inferior to you in the sophistication and speed of their forkcraft!"" The"
e-everything,1,"Your words cause the governor to sober up immediately. ""E-everything is prepared, my lord! All records of deliveries and contributions. It truly is a tragedy th"
serpentid,1,"""Magnificent! Not even the rock serpentid that recently ate our cobbler could match you. Unlike Your Celestial Highness, it spent five entire suns chewing throu"
ring-studded,1,"""Verily, Your Celestial Highness!"" He reaches his ring-studded hand for the goblet, but stops at the sound of Maive's voice."
canst,1,"""I understand, Your Celestial Highness! As our nobles say, measure thy torture ten times; thou canst behead a man but once."""
ehm,1,"""Ehm, I think they were the red robes who arrived to celebrate the ascendance of a new governor. That's me."" Ruoldo's wistful gaze follows a shrimperius fleeing"
youth-extending,1,"""Do not judge me harshly. I am just trying to get into the festive mood as best I can. We can certainly change the subject. I would like to note that I find you"
idesk,1,"""Ah, my native Idesk... Idex. Unfortunately, I have not introduced much from it beyond the art of changing faces. But perhaps the Celestial Lord has taken a lik"
idex-venteris,1,"""Analysing... This brand is the property of the Idex-Venteris food factory. It was used to mark the meat of high-protein specimens of the planet's fauna. The in"
high-protein,1,"""Analysing... This brand is the property of the Idex-Venteris food factory. It was used to mark the meat of high-protein specimens of the planet's fauna. The in"
proto-gothic,1,"""Analysing... This brand is the property of the Idex-Venteris food factory. It was used to mark the meat of high-protein specimens of the planet's fauna. The in"
corpse-feed,1,"""Analysing... This brand is the property of the Idex-Venteris food factory. It was used to mark the meat of high-protein specimens of the planet's fauna. The in"
half-mechanised,1,"""Of course, of course... Stop the music! His Celestial Highness wishes silence!"" The half-mechanised orchestra creaks to a halt, staring straight ahead with uns"
black-eye,1,"""I recommend you try the fried alcedont, whose horns were still goring my hunters just the other day. And here, we have some five-tailed shrimperiuses in stewed"
laundrywoman,1,"""Yes, there is: the laundrywoman, Edytka."""
timeus's,1,"""Sir Timeus's servant, I grant you my favour."""
wind-up,1,"""When my ship carries me between the stars, cutting through the endless void, I ask myself what the new day might bring. And then, I find myself standing up to "
anti-guessed,1,"""Had it been me in your shoes, Your Celestial Highness, I would not have guessed any of them — I dare say I would have... anti-guessed! After all, even a scrubw"
scrubwoman,1,"""Had it been me in your shoes, Your Celestial Highness, I would not have guessed any of them — I dare say I would have... anti-guessed! After all, even a scrubw"
unsurpassable,1,"""All these impostors have been found out by none other than... our celestial guest, von Valancius! An unsurpassable show, Your Celestial Highness! Bravo, bravo!"
n-not,1,"""N-not at all, no! Well, then..."" The governor quickly adjusts his dress. ""That is to say, the hour we have all been waiting for has come at last — let the grea"
spectating,1,You hear venomous laughter from among the crowd and recognise Bluff's voice. As the square drowns in the clamour and applause of gawkers who were spectating the
unblemished,1,"""I swear by the Emperor Himself, I am unblemished before you in spirit and thought!"""
fault-finding,1,"""Please—"" Maive breaks off as Solomorne walks by, brushing past her with his shoulder before examining the elevator with a fault-finding eye. Not daring to spea"
data-brands,1,"""The one with the damaged implants... Perhaps they were the reason the beast defied the order that the rest of its pack followed — to destroy all bearers of dat"
muddy-brown,1,"The creature that dragged you out of unconsciousness turns out to be a muddy-brown horse. From the darkness, the beast follows you with its large, black eyes — "
downtfeed,1,"This lacerax's augmetics are just as rusty and in sore need of service, but the creature looks far worse than the rest. Gaunt and weak, almost miserable, the be"
polytrauma,1,"""Let me take a closer look."" Eogunn floats over to you, his hulking form bristling with manipulators as he looms overhead. ""Hmm... complex polytrauma... possibl"
cardiogenic,1,"""Let me take a closer look."" Eogunn floats over to you, his hulking form bristling with manipulators as he looms overhead. ""Hmm... complex polytrauma... possibl"
oneiroid,1,"""Let me take a closer look."" Eogunn floats over to you, his hulking form bristling with manipulators as he looms overhead. ""Hmm... complex polytrauma... possibl"
daen's,1,"""He is... the best among all the court servants."" Maive looks down, but you catch the fear in her eyes. ""He always knew how to make the noble lords laugh. But a"
antiochus,1,"""Forgive me if I've said something wrong, my lord. Preacher Antiochus said that the God-Emperor holds the Key to all Destinies in His celestial hand. He Himself"
slaughterman,1,"""I am Taddua the Scorched, a slaughterman of the fifth generation, and a humble disciple of the iron saint you see before you, Your Celestial Highness."""
oh-such-lovely,1,"""The furnace? The furnace! All those scandalous misdeeds in one heretic will make oh-such-lovely sparks! Behold the starfall!"" The fool's slimy joke is followed"
starfall,1,"""The furnace? The furnace! All those scandalous misdeeds in one heretic will make oh-such-lovely sparks! Behold the starfall!"" The fool's slimy joke is followed"
lex's,1,"""What in the Lex's name did I just hear?"" Solomorne raises his voice slightly, indicating that the usually impassive Arbitrator is profoundly indignant. ""I norm"
windowless,1,"""A windowless, doorless house..."" Idira is standing still, her eyes glassy. ""The master is gone, and only beasts remain..."""
doorless,1,"""A windowless, doorless house..."" Idira is standing still, her eyes glassy. ""The master is gone, and only beasts remain..."""
phesmophorius's,1,"Cassia peers into the black pits of the Phesmophorius's eyes and, with a strange expression on her face, whispers softly, ""When you give an order like that, do "
gnk,1,"""Th... gnk yoo..."" With his mouth oozing blood, the mutant is unlikely to say much more."
yoo,1,"""Th... gnk yoo..."" With his mouth oozing blood, the mutant is unlikely to say much more."
celestialship,1,"You hear his voice among the masks, but the echoes and the noise of the crowd muddle the source. ""Somewhere in this galaxy. And I feel much safer away from the "
rockfall,1,"A sudden rumble draws your attention. Like a rockfall tumbling down a slope, the thudding of feet and mad screams overwhelm you. After a moment, you see the sou"
taddua's,1,"The excitement in Taddua's eyes fades away. ""A merciful decision, Your Celestial Highness. Savour the gift of freedom bestowed on us by the Holder of the Key to"
slaughterman's,1,"""Oh, what clamour! I'll wager they heard the sound of the poor slaughterman's heart breaking all the way at the other end of Thassera!"""
reassumed,1,"Having dusted herself off and reassumed a proper bearing, Maive stares off into space. Despite the shock, her lips are pressed together firmly, and her back is "
grimley's,1,"""Oh, have you heard about Lord Grimley's new wife?"" The pot-bellied servant has the other two's attention now. They lean closer, losing interest in the previous"
ladily,1,"""Say what you will, but a noble's a noble, no matter how celestial or {rt_mf|lordly|ladily}. They all act the same."""
sewed-on,1,"""Just a quick glance... just to walk on the same ground {rt_mf|he|she} stepped on... If we had rulers like that, we could all breathe more freely! Why can't the"
many-jointed,1,"The sculptor's mechanical hands crawl over the rough stone, their many-jointed metal fingers remaining in constant motion. Even now, you recognise your own feat"
starfaring,1,"The sculptor's hands scuttle over the stone like huge metal spiders. Somehow, his sightless gaze envisions the exact version of you that you wish to see. ""Your "
foreteller,1,"""My lord governor calls me a foreteller and creator — others, a wicked sorcerer. But there is no cause for concern: my abilities are sanctioned, and I am pure b"
outmatch,1,"""You didn't trap anyone — you shot yourself in the foot. Only an idiot would think they could outmatch a Rogue Trader and a Proctor together."""
tear-reddened,1,"Maive's gaze leaps from you to Bluff in alarm. Tear-reddened eyes widen as she realises what is happening. ""Daen, stop!"" Her slight form crashes into the fool, "
judder,1,"The world explodes into shards, suffused with a blinding light that burns out your eye sockets, incinerates the air in your lungs, and makes your heart judder i"
stock-still,1,"You see Bluff through the bars of the cage. The mocking smile on his sinister mask seems to grow even broader, or is it a trick of the light? Maive — as white a"
rain-worn,1,"""Now, now, why so tense? I simply grew tired of you forever wandering about with your retinue. Never a chance for a quiet word face-to-face. Yet I see your fear"
ominous-looking,1,"A pulsing light draws your attention — against the far wall, an old man stands behind an ominous-looking altar. The heavily augmented man stares in wonder at th"
half-buried,1,"A mountain of vegetable waste rises up ahead, next to which stands a rusty pitchfork. Your attention is drawn to something pale pink, half-buried under the wast"
sleuthing,1,"""You tell me! You're the sleuthing Arbitrator!"""
uninvolved,1,"""You are not wrong. In particular, I would like to note the governor granting preferential treatment to our attendant. Perhaps he needs her unconditional trust."
moonlives,1,"""The Chronicle of Fates, by Gorgorius Falt"" ""Chapter 2"" ""It befits any servant of His to thank daily the Emperor, Him That Holdeth the Key, for the lot given th"
woodboring,1,"""The Chronicle of Fates, by Gorgorius Falt"" ""Chapter 0406"" ""I am impure, and my body is impure. Vital fluids not my own are stirring within me, as though woodbo"
lyre-playing,1,Lyre-Playing Servitor
cyber-lacerax,1,Cyber-Lacerax
machine-spark,1,Manipulator cables entwine the elevator control board and dig into the emergency sockets inside it with an unpleasant scraping sound. Machine-spark discharges r
leathercraft,1,"One of the metal skulls adorning this belt bears its maker's signature, and their vanity is justified — this truly is the pinnacle of leathercraft."
nebulus,1,Nebulus
citrinitas,1,Citrinitas
tria,1,Tria Prima
callista,1,Callista
coppertongue,1,Coppertongue
srw,1,SRW3-Alpha/1
ex-arbitrator,1,"""I am in charge of just this sector... Or was in charge, anyway. The head of the colony said that, now that we have an ex-Arbitrator, we should heed his wisdom "
planetoid-dwelling,1,"""I am in charge of just this sector... Or was in charge, anyway. The head of the colony said that, now that we have an ex-Arbitrator, we should heed his wisdom "
dust-gorgers,1,"""I am in charge of just this sector... Or was in charge, anyway. The head of the colony said that, now that we have an ex-Arbitrator, we should heed his wisdom "
minute-by-minute,1,"The ordinance, entitled ""Anthar's Edict, Amendment 12,"" contains a minute-by-minute schedule of each prisoner's duties and a detailed system of punishments for "
eight-hour,1,"""The eight-hour tech-liturgy to appease the wrath of the machine is sixty-five percent complete. Omnissiah grant the unit the strength not to stray out of seque"
sixty-five,1,"""The eight-hour tech-liturgy to appease the wrath of the machine is sixty-five percent complete. Omnissiah grant the unit the strength not to stray out of seque"
thish,1,"""How mush more of thish can we take? That newcomer bashtard killed Connag! Let'sh kill him, we'll shay the prishoners did it."""
bashtard,1,"""How mush more of thish can we take? That newcomer bashtard killed Connag! Let'sh kill him, we'll shay the prishoners did it."""
connag,1,"""How mush more of thish can we take? That newcomer bashtard killed Connag! Let'sh kill him, we'll shay the prishoners did it."""
let'sh,1,"""How mush more of thish can we take? That newcomer bashtard killed Connag! Let'sh kill him, we'll shay the prishoners did it."""
shay,1,"""How mush more of thish can we take? That newcomer bashtard killed Connag! Let'sh kill him, we'll shay the prishoners did it."""
prishoners,1,"""How mush more of thish can we take? That newcomer bashtard killed Connag! Let'sh kill him, we'll shay the prishoners did it."""
presherve,1,"""Emperor presherve us! What kind of lawsh are theshe? You sho much ash fart and it'sh a death shentence."""
lawsh,1,"""Emperor presherve us! What kind of lawsh are theshe? You sho much ash fart and it'sh a death shentence."""
theshe,1,"""Emperor presherve us! What kind of lawsh are theshe? You sho much ash fart and it'sh a death shentence."""
sho,1,"""Emperor presherve us! What kind of lawsh are theshe? You sho much ash fart and it'sh a death shentence."""
it'sh,1,"""Emperor presherve us! What kind of lawsh are theshe? You sho much ash fart and it'sh a death shentence."""
shentence,1,"""Emperor presherve us! What kind of lawsh are theshe? You sho much ash fart and it'sh a death shentence."""
warp-diving,1,"""Lord Cap'n, the boarding teams are raring to go! The Heartless's Geller field generator is cooked, so no warp-diving for them now, and we've set off fireworks "
groxshi,1,"""Lord Cap'n, the augur crew has spotted a fleet dead ahead. The drive signature of the enemy flagship matches that of the Heartless. The escort ships are sticki"
void-frozen,1,"""Captain Sargona, your void-frozen remains will serve as a message to anyone who thinks they can lay their hands on the tithe and escape justice. In the name of"
unsatisfactorily,1,"""The esteemed Master Anthar has thrown himself into the struggle for deck sanitation with commendable zeal, but some of his methods are... terrifying the staff."
awai,1,"""Lord Captain, we are now in Leethus's orbit. The ship has successfully exchanged access codes with the Adeptus Arbites outpost, but their landing pad is unavai"
lower-decker's,1,"""Reporting: all enemy vessels destroyed. When will these upstarts get the message? You attack a Rogue Trader, you'll be floating in the void like a dead rat in "
voxing,1,"""Urgent report, Lord Captain! The barges carrying the tithe have been seized and are heading off in an unknown direction. Multiple sources are voxing the flagsh"
half-melted,1,"Judging by its half-melted state, the former owner of this helmet feared neither fire nor death."
garren,1,"A man in Adeptus Arbites armour raises the visor on his helmet and regards you with a harsh look. ""Thank you for your cooperation. Proctor Garren. Now, state yo"
cover-up,1,"""Then, there's this rebellion. Convenient. How many records and crucial witnesses do you think will be lost? Some people might call it a 'cover-up.' I do not li"
cyber-assistant,1,Glad to be of help to you and your cyber-assistant!
ampleness,1,"A dry shadow follows after the Marshal — an old woman, familiar to you and likely to generations of clerks at the Administratum Palace. The ampleness of her rob"
exceedance,1,"""If I may continue for you."" The prefect steps forward, dragging her feet slightly. ""As per the decree of Theodora von Valancius ORD-037/ЗN, the representatives"
lawkeepers,1,"Before you even finish speaking, the prefect's cogita-quill begins scratching at her data-slate, likely recording your refusal and making corrections to various"
karmelan,1,A finely dressed man greets you with an incredibly radiant smile. His meticulously polished jaw augmentation reflects the palace's interior as sharply as a mirr
cyber-assistants,1,"Lussarius points to his eagle, still smiling. ""Equipment for noble cyber-assistants, of course. The demand is modest, as few in the Imperium can afford such lux"
lussarius's,1,"Judging by his expensive attire and ostentatious augmetics, Lussarius's wealth is unlikely to stem directly from his curiosity business. He came here following "
half-faded,1,"Decayed books rest on the gilded pedestal. The plaque underneath bears the half-faded letters of an inscription in High Gothic: ""Lex Imperialis, Volume 964, Add"
blue-skinned,1,"Emaciated, blue-skinned, frozen corpses cling to the container's lid with broken nails. Shattered knives lie at their feet. The patches on their clothes bear th"
vox-operator,1,A corpse with the insignia of an Imperial Guard vox-operator. His battered knuckles and horrific injuries indicate that this man went down fighting.
fifty-two,1,"""...Two hundred and fifty-two million containers taken stock of. Forty-seven... trillion to go..."""
forty-seven,1,"""...Two hundred and fifty-two million containers taken stock of. Forty-seven... trillion to go..."""
c-captain,1,"""C-Captain Walz! Do I take the oath now? Ahem. I swear never to abandon a comrade-in-arms, and—"""
thick-headed,1,"""We hid in the container when things started to look bad on the old Heartless. We'll climb out once they unload the goods at the port warehouse. I bet those thi"
ratsies,1,"""We hid in the container when things started to look bad on the old Heartless. We'll climb out once they unload the goods at the port warehouse. I bet those thi"
trei,1,"""We hid in the container when things started to look bad on the old Heartless. We'll climb out once they unload the goods at the port warehouse. I bet those thi"
kaira,1,"""We hid in the container when things started to look bad on the old Heartless. We'll climb out once they unload the goods at the port warehouse. I bet those thi"
synth-capsules,1,"The vox plays the log of the most recent messages: ""353rd Company, come in! This is Private Wilger. I've lost my unit. I've been wandering in this infernal carg"
vacuum-sealed,1,"The vox plays the log of the most recent messages: ""353rd Company, come in! This is Private Wilger. I've lost my unit. I've been wandering in this infernal carg"
throne-forsaken,1,"""Are you able to speculate how likely the following development is to occur: the Rogue Trader sends the insolent lawwoman to the most Throne-forsaken planet the"
t-m,1,"""Proctor Adriana Yeager, outpost T-M/255. Greetings, Rogue Trader."" The woman hailing you could hardly be called ancient, but it seems her life has been arduous"
administratum-regulated,1,"""The tithe is taking damage; I am aware of that. However, we cannot afford an operation to capture and eliminate the insurgents. That would cause losses among t"
counter-litanies,1,"Yeager's data-slate is flashing a panicked red. ""The augurs are recording anomalous seismic activity: someone has started arming the cyclonic bombs in the bowel"
hands-on,1,"""Have you had much hands-on experience with entire sectors and dying planets being cut off from the Imperium? There must be other ways to display power — ones t"
gigaton,1,"""You know, shereen, I find myself questioning two things in this life: whether Arbitrators understand what 'secrecy' means, and whether one can consider it a go"
tsks,1,"Marazhai tsks in exasperation. ""Would you be so obliging as to finally blow something up or otherwise enliven this tedious conversation? The propensity of the m"
emperor-cursed,1,"The madman raises his only remaining eyebrow in mock surprise. ""Pray tell, where on this Emperor-cursed world do you mean to go? Perhaps to the Arbites? Then, a"
below-average,1,"""Regarding the Adeptus Arbites member of below-average physical integrity, enter in the inventory: 'Honesty: below average. Ethics: second-hand. Disappointment:"
second-hand,1,"""Regarding the Adeptus Arbites member of below-average physical integrity, enter in the inventory: 'Honesty: below average. Ethics: second-hand. Disappointment:"
grey-clad,1,"The grey-clad man taps his fingers on his data-slate. His bulky head implant showers the surroundings liberally with sparks. ""Two hundred million... No! Didn't "
catalogus,1,"The clerk winces and mutters mechanically, ""Tertius Quart, rank three scribe of the Departmento Catalogus, quantity: one! The inventory— it—"""
albinism,1,"""A mutant with albinism, quantity: one. The gill slits suggest an ocean world origin. Note: skin desiccated. Placement in a liquid-filled tank recommended to av"
liquid-filled,1,"""A mutant with albinism, quantity: one. The gill slits suggest an ocean world origin. Note: skin desiccated. Placement in a liquid-filled tank recommended to av"
elev,1,"""There used to be more of us. Five died of exhaustion. Three were killed in collapses of tithe assets. Two were eaten by ambulls. Another ten... no, elev— I don"
replenishments,1,"""There used to be more of us. Five died of exhaustion. Three were killed in collapses of tithe assets. Two were eaten by ambulls. Another ten... no, elev— I don"
g-good,1,"The clerk gives you a hounded look, his implant crackling ominously. ""You've eliminated the ambulls? G-good. I'm crossing them off the inventory. How many injur"
hazy-eyed,1,"""An Ogryn, quantity: one, extra shaggy. Hazy-eyed, unencumbered by intelligence. Everything within the norm. Equipped with Adeptus Astartes power armour from th"
unencumbered,1,"""An Ogryn, quantity: one, extra shaggy. Hazy-eyed, unencumbered by intelligence. Everything within the norm. Equipped with Adeptus Astartes power armour from th"
non-standard-issue,1,"""A member of the Adeptus Arbites, quantity: one. A non-standard-issue cyber-mastiff, quantity: one. Physical integrity: below average. Configuration: secondary."
prognathous,1,"""A member of the Adeptus Arbites, quantity: one. A non-standard-issue cyber-mastiff, quantity: one. Physical integrity: below average. Configuration: secondary."
twenty-six,1,"""...Twenty-six. Equipment condition: excellent. Limb count: satisfactory. Appearance: unremarkable. Self-importance: elevated."""
a-ambulls,1,"""A-ambulls! Repulsive, aggressive pests! They adapt to any environment... This world is infested with them! They got to the tithe and gobbled up everything they"
malnourishment,1,"""A pale, lanky woman, quantity: one. Multiple signs of battery, evidence of malnourishment. Best category fit: Servants. Subcategory: Idlers."""
subcategory,1,"""A pale, lanky woman, quantity: one. Multiple signs of battery, evidence of malnourishment. Best category fit: Servants. Subcategory: Idlers."""
tiiiny,1,"The clerk's tense shoulders relax a little. ""I believe you... But the report... Just one more tiiiny bit of stock-taking, all right?"""
stock-taking,1,"The clerk's tense shoulders relax a little. ""I believe you... But the report... Just one more tiiiny bit of stock-taking, all right?"""
filthy-tongued,1,"Ulfar makes a superstitious gesture to ward off evil. ""Spilling the blood of a harmless fool is a bad omen. The feebleness of mind might spread to the killer. A"
sub-items,1,"""The sub-items have been entered, thank you for your cooperation."" Under Solomorne's judgemental gaze, the clerk pokes his finger at the data-slate."
prometheus-proxima-class,1,"The man announces in a mechanical voice: ""Supreme ordinance: the arrival of the head of the von Valancius dynasty with the purpose of extraction of the tithe tr"
dariuses,1,"""I... I believe him. Lady Theodora always played for high stakes — all or nothing. It's the only game there ever was for her."" Idira grimaces, clutches her temp"
soft-heartedness,1,""", your soft-heartedness is beyond the pale! You dare interpret the Lex Imperialis this way?"" Solomorne covers his face with the palm of his hand, trying to rei"
recalculating,1,"""Amount of tax burden: insufficient. Recalculating."""
tnk-alpha,1,"""Warning: errors detected in Form TNK-Alpha 277."""
one-sixth,1,"""One-sixth of a quarter. One-tenth of a third. Two-tenths of six dozen."""
one-tenth,1,"""One-sixth of a quarter. One-tenth of a third. Two-tenths of six dozen."""
two-tenths,1,"""One-sixth of a quarter. One-tenth of a third. Two-tenths of six dozen."""
patina-covered,1,In the broken base of the scales is a chest adorned with the patina-covered emblem of the Adeptus Arbites. The purity seals suggest it was consecrated before be
guil,1,"""I'm not guil—"""
uch,1,"Petition #36-Sigma/64 +++ Through the efforts of the Adeptus Arbites at my family estate, 12 (twelve) criminals among the members of my family were terminated. "
ponrutt,1,Brother Ponrutt
non-observance,1,[Accusation: Non-Observance of Regulations]Attack a target whose armour is reduced to 0 through the Expose Weakness ability!
highest-born,1,"""Only the most important ones that involve the interests of the highest-born persons and prominent factions of the Imperium: disputes between noble houses that "
litigations,1,"""Only the most important ones that involve the interests of the highest-born persons and prominent factions of the Imperium: disputes between noble houses that "
omnis,1,"""In forbidding the Doleful Host from capturing the Choirmaster, the Rogue Trader confirmed his complicity in the activities of the infamous heretic Kunrad Voigt"
alpha-class,1,"""In addition, the defendant led a fleet of his associates into a classified system, causing irreparable damage to the sacred tribute. As a result of internal sq"
